Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,e0,e1,
2024-02-23,17-23-09.288,0.5,13.018,0.147,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-09.436,0.5,12.852,0.029,4,31,-60,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-09.581,0.5,12.975,0.169,5,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-09.726,0.5,12.971,0.155,12,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-09.876,0.5,12.982,0.164,5,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-10.016,0.5,12.901,0.061,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-10.170,0.5,12.923,0.154,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-10.330,0.5,12.81,0.058,9,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-10.499,0.5,12.825,0.099,10,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-10.654,0.5,12.984,0.154,14,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-10.812,0.5,12.818,0,4,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-10.961,0.5,12.916,0.125,9,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-11.121,0.5,12.973,0.197,12,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-11.307,0.5,12.996,0.202,13,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-11.472,0.5,12.91,0.085,14,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-11.633,0.5,12.973,0.131,10,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-11.790,0.5,12.902,0.086,14,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-11.961,0.5,12.919,0.159,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-12.127,0.5,12.923,0.139,12,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-12.288,0.5,12.909,0.138,5,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-12.458,0.5,12.882,0.206,7,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-12.621,0.5,12.929,0.12,14,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-12.783,0.5,12.95,0.147,14,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-12.942,0.5,12.908,0.112,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-13.096,0.5,12.852,0,4,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-13.271,0.5,12.902,0.116,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-13.425,0.5,12.987,0.154,7,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-13.581,0.5,12.919,0.126,10,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-13.739,0.5,12.885,0.14,8,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-13.911,0.5,12.916,0.156,12,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-14.086,0.5,12.963,0.125,5,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-14.235,0.5,12.999,0.139,10,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-14.385,0.5,12.931,0.086,12,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-14.542,0.5,12.937,0.164,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-14.700,0.5,12.818,0,2,31,-60,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-14.853,0.5,12.937,0.146,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-15.021,0.5,12.706,0,8,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-15.181,0.5,12.879,0.106,10,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-15.364,0.5,12.981,0.166,6,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-15.520,0.5,12.989,0.209,9,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-15.678,0.5,12.918,0.173,10,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-15.845,0.5,12.974,0.112,11,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-16.005,0.5,12.87,0.065,12,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-16.158,0.5,12.958,0.122,13,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-16.317,0.5,12.899,0.137,12,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-16.469,0.5,12.979,0.096,8,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-16.621,0.5,12.913,0.126,8,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-16.765,0.5,12.9,0.159,14,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-16.924,0.5,12.967,0.161,8,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-17.099,0.5,12.937,0.091,14,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
2024-02-23,17-23-17.250,0.5,12.998,0.195,13,31,-59,1,-56,1,5745,5775,0,80,11ac,9c:4f:5f:49:29:f6,"rtt-magic",5745,16,
