Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,E1,E2,
2024-02-10,12-30-11.931,0.5,11.373,0.147,12,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-12.071,0.5,11.366,0.151,8,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-12.219,0.5,11.329,0.179,9,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-12.356,0.5,11.273,0.042,3,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-12.498,0.5,11.472,0.199,5,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-12.636,0.5,11.354,0.175,10,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-12.777,0.5,11.353,0.16,10,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-12.928,0.5,11.397,0.094,9,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-13.079,0.5,11.428,0.222,14,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-13.239,0.5,11.371,0.154,10,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-13.392,0.5,11.264,0.085,12,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-13.546,0.5,11.315,0.107,11,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-13.697,0.5,11.379,0.192,14,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-13.851,0.5,11.355,0.086,8,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-14.018,0.5,11.338,0.163,7,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-14.174,0.5,11.368,0.256,9,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-14.344,0.5,11.34,0.084,9,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-14.528,0.5,11.366,0.079,12,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-14.684,0.5,11.387,0.087,12,31,-60,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-14.850,0.5,11.437,0.121,10,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-15.004,0.5,11.275,0.069,11,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-15.173,0.5,11.318,0.187,12,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-10,12-30-15.330,0.5,11.28,0.075,11,31,-61,1,-46,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
