Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,E1,E2,
2024-02-07,09-50-30.685,0.5,12.856,0.051,11,31,-66,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-30.857,0.5,13.173,0.646,12,31,-66,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-31.033,0.5,13.022,0.118,12,31,-66,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-31.185,0.5,12.974,0.263,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-31.361,0.5,12.671,0.105,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-31.516,0.5,12.652,0.184,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-31.701,0.5,12.576,0.145,12,31,-68,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-31.872,0.5,12.755,0.286,14,31,-68,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-32.025,0.5,12.722,0.262,14,31,-68,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-32.194,0.5,12.697,0.285,11,31,-68,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-32.369,0.5,12.73,0.319,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-32.512,0.5,12.915,0.356,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-32.690,0.5,12.952,0.417,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-32.832,0.5,12.889,0.416,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-33.003,0.5,12.918,0.4,14,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-33.134,0.5,12.758,0.395,14,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-33.307,0.5,12.533,0.093,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
2024-02-07,09-50-33.455,0.5,12.459,0.1,12,31,-67,1,-39,1,5180,5210,0,80,11ac,9c:4f:5f:4c:3a:45,"rttmagic",5180,16,
